local_index,ecephys_structure_acronym,ecephys_structure_id
0.0,grey,8.0
1.0,grey,8.0
2.0,grey,8.0
3.0,grey,8.0
4.0,grey,8.0
5.0,grey,8.0
6.0,grey,8.0
7.0,grey,8.0
8.0,grey,8.0
9.0,grey,8.0
10.0,grey,8.0
11.0,grey,8.0
12.0,grey,8.0
13.0,grey,8.0
14.0,grey,8.0
15.0,grey,8.0
16.0,grey,8.0
17.0,grey,8.0
18.0,grey,8.0
19.0,grey,8.0
20.0,grey,8.0
21.0,grey,8.0
22.0,grey,8.0
23.0,grey,8.0
24.0,grey,8.0
25.0,grey,8.0
26.0,grey,8.0
27.0,grey,8.0
28.0,grey,8.0
29.0,grey,8.0
30.0,grey,8.0
31.0,grey,8.0
32.0,grey,8.0
33.0,grey,8.0
34.0,grey,8.0
35.0,grey,8.0
36.0,grey,8.0
37.0,grey,8.0
38.0,grey,8.0
39.0,grey,8.0
40.0,grey,8.0
41.0,grey,8.0
42.0,grey,8.0
43.0,grey,8.0
44.0,grey,8.0
45.0,grey,8.0
46.0,grey,8.0
47.0,grey,8.0
48.0,grey,8.0
49.0,grey,8.0
50.0,grey,8.0
51.0,grey,8.0
52.0,grey,8.0
53.0,grey,8.0
54.0,grey,8.0
55.0,grey,8.0
56.0,grey,8.0
57.0,grey,8.0
58.0,grey,8.0
59.0,grey,8.0
60.0,grey,8.0
61.0,grey,8.0
62.0,grey,8.0
63.0,grey,8.0
64.0,grey,8.0
65.0,grey,8.0
66.0,grey,8.0
67.0,grey,8.0
68.0,grey,8.0
69.0,grey,8.0
70.0,grey,8.0
71.0,grey,8.0
72.0,grey,8.0
73.0,grey,8.0
74.0,grey,8.0
75.0,grey,8.0
76.0,grey,8.0
77.0,grey,8.0
78.0,grey,8.0
79.0,grey,8.0
80.0,grey,8.0
81.0,grey,8.0
82.0,grey,8.0
83.0,grey,8.0
84.0,grey,8.0
85.0,grey,8.0
86.0,grey,8.0
87.0,grey,8.0
88.0,grey,8.0
89.0,grey,8.0
90.0,grey,8.0
91.0,grey,8.0
92.0,grey,8.0
93.0,grey,8.0
94.0,grey,8.0
95.0,grey,8.0
96.0,grey,8.0
97.0,grey,8.0
98.0,grey,8.0
99.0,grey,8.0
100.0,grey,8.0
101.0,grey,8.0
102.0,grey,8.0
103.0,grey,8.0
104.0,grey,8.0
105.0,grey,8.0
106.0,grey,8.0
107.0,grey,8.0
108.0,grey,8.0
109.0,grey,8.0
110.0,grey,8.0
111.0,grey,8.0
112.0,grey,8.0
113.0,grey,8.0
114.0,grey,8.0
115.0,grey,8.0
116.0,grey,8.0
117.0,grey,8.0
118.0,grey,8.0
119.0,grey,8.0
120.0,grey,8.0
121.0,grey,8.0
122.0,grey,8.0
123.0,grey,8.0
124.0,grey,8.0
125.0,grey,8.0
126.0,grey,8.0
127.0,grey,8.0
128.0,grey,8.0
129.0,grey,8.0
130.0,grey,8.0
131.0,grey,8.0
132.0,grey,8.0
133.0,grey,8.0
134.0,grey,8.0
135.0,grey,8.0
136.0,grey,8.0
137.0,grey,8.0
138.0,grey,8.0
139.0,grey,8.0
140.0,grey,8.0
141.0,grey,8.0
142.0,grey,8.0
143.0,grey,8.0
144.0,grey,8.0
145.0,grey,8.0
146.0,grey,8.0
147.0,grey,8.0
148.0,grey,8.0
149.0,grey,8.0
150.0,grey,8.0
151.0,grey,8.0
152.0,grey,8.0
153.0,grey,8.0
154.0,grey,8.0
155.0,grey,8.0
156.0,grey,8.0
157.0,grey,8.0
158.0,grey,8.0
159.0,grey,8.0
160.0,grey,8.0
161.0,grey,8.0
162.0,grey,8.0
163.0,grey,8.0
164.0,grey,8.0
165.0,grey,8.0
166.0,grey,8.0
167.0,grey,8.0
168.0,grey,8.0
169.0,grey,8.0
170.0,grey,8.0
171.0,grey,8.0
172.0,grey,8.0
173.0,grey,8.0
174.0,grey,8.0
175.0,grey,8.0
176.0,grey,8.0
177.0,grey,8.0
178.0,grey,8.0
179.0,grey,8.0
180.0,grey,8.0
181.0,grey,8.0
182.0,grey,8.0
183.0,grey,8.0
184.0,grey,8.0
185.0,grey,8.0
186.0,grey,8.0
187.0,grey,8.0
188.0,grey,8.0
189.0,grey,8.0
190.0,grey,8.0
191.0,grey,8.0
192.0,grey,8.0
193.0,grey,8.0
194.0,grey,8.0
195.0,grey,8.0
196.0,grey,8.0
197.0,grey,8.0
198.0,grey,8.0
199.0,grey,8.0
200.0,grey,8.0
201.0,grey,8.0
202.0,grey,8.0
203.0,grey,8.0
204.0,grey,8.0
205.0,grey,8.0
206.0,grey,8.0
207.0,grey,8.0
208.0,grey,8.0
209.0,grey,8.0
210.0,grey,8.0
211.0,grey,8.0
212.0,grey,8.0
213.0,grey,8.0
214.0,grey,8.0
215.0,grey,8.0
216.0,grey,8.0
217.0,grey,8.0
218.0,grey,8.0
219.0,grey,8.0
220.0,grey,8.0
221.0,grey,8.0
222.0,grey,8.0
223.0,grey,8.0
224.0,grey,8.0
225.0,grey,8.0
226.0,grey,8.0
227.0,grey,8.0
228.0,grey,8.0
229.0,grey,8.0
230.0,grey,8.0
231.0,grey,8.0
232.0,grey,8.0
233.0,grey,8.0
234.0,grey,8.0
235.0,grey,8.0
236.0,grey,8.0
237.0,grey,8.0
238.0,grey,8.0
239.0,grey,8.0
240.0,grey,8.0
241.0,grey,8.0
242.0,grey,8.0
243.0,grey,8.0
244.0,grey,8.0
245.0,grey,8.0
246.0,grey,8.0
247.0,grey,8.0
248.0,grey,8.0
249.0,grey,8.0
250.0,grey,8.0
251.0,grey,8.0
252.0,grey,8.0
253.0,grey,8.0
254.0,grey,8.0
255.0,grey,8.0
256.0,grey,8.0
257.0,grey,8.0
258.0,VISal,402.0
259.0,VISal,402.0
260.0,VISal,402.0
261.0,VISal,402.0
262.0,VISal,402.0
263.0,VISal,402.0
264.0,VISal,402.0
265.0,VISal,402.0
266.0,VISal,402.0
267.0,VISal,402.0
268.0,VISal,402.0
269.0,VISal,402.0
270.0,VISal,402.0
271.0,VISal,402.0
