local_index,ecephys_structure_acronym,ecephys_structure_id
0.0,CA1,382.0
1.0,CA1,382.0
2.0,CA1,382.0
3.0,CA1,382.0
4.0,CA1,382.0
5.0,CA1,382.0
6.0,CA1,382.0
7.0,CA1,382.0
8.0,CA1,382.0
9.0,CA1,382.0
10.0,CA1,382.0
11.0,CA1,382.0
12.0,CA1,382.0
13.0,CA1,382.0
14.0,CA1,382.0
15.0,CA1,382.0
16.0,CA1,382.0
17.0,CA1,382.0
18.0,CA1,382.0
19.0,CA1,382.0
20.0,CA1,382.0
21.0,CA1,382.0
22.0,CA1,382.0
23.0,CA1,382.0
24.0,CA1,382.0
25.0,CA1,382.0
26.0,CA1,382.0
27.0,CA1,382.0
28.0,CA1,382.0
29.0,CA1,382.0
30.0,CA1,382.0
31.0,CA1,382.0
32.0,CA1,382.0
33.0,CA1,382.0
34.0,CA1,382.0
35.0,CA1,382.0
36.0,CA1,382.0
37.0,CA1,382.0
38.0,CA1,382.0
39.0,CA1,382.0
40.0,CA1,382.0
41.0,CA1,382.0
42.0,CA1,382.0
43.0,CA1,382.0
44.0,CA1,382.0
45.0,CA1,382.0
46.0,CA1,382.0
47.0,CA1,382.0
48.0,CA1,382.0
49.0,CA1,382.0
50.0,CA1,382.0
51.0,CA1,382.0
52.0,CA1,382.0
53.0,CA1,382.0
54.0,CA1,382.0
55.0,CA1,382.0
56.0,CA1,382.0
57.0,CA1,382.0
58.0,CA1,382.0
59.0,CA1,382.0
60.0,CA1,382.0
61.0,CA1,382.0
62.0,CA1,382.0
63.0,CA1,382.0
64.0,CA1,382.0
65.0,CA1,382.0
66.0,CA1,382.0
67.0,CA1,382.0
68.0,CA1,382.0
69.0,CA1,382.0
70.0,CA1,382.0
71.0,CA1,382.0
72.0,VISam,394.0
73.0,VISam,394.0
74.0,VISam,394.0
75.0,VISam,394.0
76.0,VISam,394.0
77.0,VISam,394.0
78.0,VISam,394.0
79.0,VISam,394.0
80.0,VISam,394.0
81.0,VISam,394.0
82.0,VISam,394.0
83.0,VISam,394.0
84.0,VISam,394.0
85.0,VISam,394.0
86.0,VISam,394.0
87.0,VISam,394.0
88.0,VISam,394.0
89.0,VISam,394.0
90.0,VISam,394.0
91.0,VISam,394.0
92.0,VISam,394.0
93.0,VISam,394.0
94.0,VISam,394.0
95.0,VISam,394.0
96.0,VISam,394.0
97.0,VISam,394.0
98.0,VISam,394.0
99.0,VISam,394.0
100.0,VISam,394.0
101.0,VISam,394.0
102.0,VISam,394.0
103.0,VISam,394.0
104.0,VISam,394.0
105.0,VISam,394.0
106.0,VISam,394.0
107.0,VISam,394.0
108.0,VISam,394.0
109.0,VISam,394.0
110.0,VISam,394.0
111.0,VISam,394.0
112.0,VISam,394.0
113.0,VISam,394.0
114.0,VISam,394.0
115.0,VISam,394.0
116.0,VISam,394.0
117.0,VISam,394.0
118.0,VISam,394.0
119.0,VISam,394.0
120.0,VISam,394.0
121.0,VISam,394.0
122.0,VISam,394.0
123.0,VISam,394.0
124.0,VISam,394.0
125.0,VISam,394.0
126.0,VISam,394.0
127.0,VISam,394.0
128.0,VISam,394.0
129.0,VISam,394.0
130.0,VISam,394.0
131.0,VISam,394.0
132.0,VISam,394.0
133.0,VISam,394.0
134.0,VISam,394.0
135.0,VISam,394.0
136.0,VISam,394.0
137.0,VISam,394.0
138.0,VISam,394.0
139.0,VISam,394.0
140.0,VISam,394.0
141.0,VISam,394.0
142.0,VISam,394.0
143.0,VISam,394.0
144.0,VISam,394.0
145.0,VISam,394.0
146.0,VISam,394.0
147.0,VISam,394.0
148.0,VISam,394.0
149.0,VISam,394.0
150.0,VISam,394.0
151.0,VISam,394.0
152.0,VISam,394.0
153.0,VISam,394.0
154.0,VISam,394.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
