local_index,ecephys_structure_acronym,ecephys_structure_id
0.0,CA1,382.0
1.0,CA1,382.0
2.0,CA1,382.0
3.0,CA1,382.0
4.0,CA1,382.0
5.0,CA1,382.0
6.0,CA1,382.0
7.0,CA1,382.0
8.0,CA1,382.0
9.0,CA1,382.0
10.0,CA1,382.0
11.0,CA1,382.0
12.0,CA1,382.0
13.0,CA1,382.0
14.0,CA1,382.0
15.0,CA1,382.0
16.0,CA1,382.0
17.0,CA1,382.0
18.0,CA1,382.0
19.0,CA1,382.0
20.0,CA1,382.0
21.0,CA1,382.0
22.0,CA1,382.0
23.0,CA1,382.0
24.0,CA1,382.0
25.0,CA1,382.0
26.0,CA1,382.0
27.0,CA1,382.0
28.0,CA1,382.0
29.0,CA1,382.0
30.0,CA1,382.0
31.0,CA1,382.0
32.0,CA1,382.0
33.0,CA1,382.0
34.0,VISam,394.0
35.0,VISam,394.0
36.0,VISam,394.0
37.0,VISam,394.0
38.0,VISam,394.0
39.0,VISam,394.0
40.0,VISam,394.0
41.0,VISam,394.0
42.0,VISam,394.0
43.0,VISam,394.0
44.0,VISam,394.0
45.0,VISam,394.0
46.0,VISam,394.0
47.0,VISam,394.0
48.0,VISam,394.0
49.0,VISam,394.0
50.0,VISam,394.0
51.0,VISam,394.0
52.0,VISam,394.0
53.0,VISam,394.0
54.0,VISam,394.0
55.0,VISam,394.0
56.0,VISam,394.0
57.0,VISam,394.0
58.0,VISam,394.0
59.0,VISam,394.0
60.0,VISam,394.0
61.0,VISam,394.0
62.0,VISam,394.0
63.0,VISam,394.0
64.0,VISam,394.0
65.0,VISam,394.0
66.0,VISam,394.0
67.0,VISam,394.0
68.0,VISam,394.0
69.0,VISam,394.0
70.0,VISam,394.0
71.0,VISam,394.0
72.0,VISam,394.0
73.0,VISam,394.0
74.0,VISam,394.0
75.0,VISam,394.0
76.0,VISam,394.0
77.0,VISam,394.0
78.0,VISam,394.0
79.0,VISam,394.0
80.0,VISam,394.0
81.0,VISam,394.0
82.0,VISam,394.0
83.0,VISam,394.0
84.0,VISam,394.0
85.0,VISam,394.0
86.0,VISam,394.0
87.0,VISam,394.0
88.0,VISam,394.0
89.0,VISam,394.0
90.0,VISam,394.0
91.0,VISam,394.0
92.0,VISam,394.0
93.0,VISam,394.0
94.0,VISam,394.0
95.0,VISam,394.0
96.0,VISam,394.0
97.0,VISam,394.0
98.0,VISam,394.0
99.0,VISam,394.0
100.0,VISam,394.0
101.0,VISam,394.0
102.0,VISam,394.0
103.0,VISam,394.0
104.0,VISam,394.0
105.0,VISam,394.0
106.0,VISam,394.0
107.0,VISam,394.0
108.0,VISam,394.0
109.0,VISam,394.0
110.0,VISam,394.0
111.0,VISam,394.0
112.0,VISam,394.0
113.0,VISam,394.0
114.0,VISam,394.0
115.0,VISam,394.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
